Date,Close
02/01/2018 16:00:00,36.17
03/01/2018 16:00:00,37.31
04/01/2018 16:00:00,38.1
05/01/2018 16:00:00,41.14
08/01/2018 16:00:00,40.76
09/01/2018 16:00:00,40.88
10/01/2018 16:00:00,40.84
11/01/2018 16:00:00,42.3
12/01/2018 16:00:00,41.25
16/01/2018 16:00:00,39.32
17/01/2018 16:00:00,40.06
18/01/2018 16:00:00,40.27
19/01/2018 16:00:00,42.56
22/01/2018 16:00:00,45.29
23/01/2018 16:00:00,45.01
24/01/2018 16:00:00,44.32
25/01/2018 16:00:00,45.12
26/01/2018 16:00:00,45.97
29/01/2018 16:00:00,45.43
30/01/2018 16:00:00,45.52
31/01/2018 16:00:00,46.91
01/02/2018 16:00:00,44.45
02/02/2018 16:00:00,43.61
05/02/2018 16:00:00,41.02
06/02/2018 16:00:00,41.61
07/02/2018 16:00:00,41.67
08/02/2018 16:00:00,39.5
09/02/2018 16:00:00,39.57
12/02/2018 16:00:00,39.92
13/02/2018 16:00:00,42.11
14/02/2018 16:00:00,41.85
15/02/2018 16:00:00,44.29
16/02/2018 16:00:00,44.11
20/02/2018 16:00:00,44.93
21/02/2018 16:00:00,44.1
22/02/2018 16:00:00,44.9
23/02/2018 16:00:00,44.86
26/02/2018 16:00:00,46.55
27/02/2018 16:00:00,45.91
28/02/2018 16:00:00,46.05
01/03/2018 16:00:00,46.01
02/03/2018 16:00:00,46.02
05/03/2018 16:00:00,50.42
06/03/2018 16:00:00,49.6
07/03/2018 16:00:00,50.72
08/03/2018 16:00:00,52.25
09/03/2018 16:00:00,52.49
12/03/2018 16:00:00,53.19
13/03/2018 16:00:00,51.83
14/03/2018 16:00:00,54.61
15/03/2018 16:00:00,54.84
16/03/2018 16:00:00,54.89
19/03/2018 16:00:00,54.58
20/03/2018 16:00:00,57.69
21/03/2018 16:00:00,57.09
22/03/2018 16:00:00,55.16
23/03/2018 16:00:00,51.67
26/03/2018 16:00:00,53.55
27/03/2018 16:00:00,51.06
28/03/2018 16:00:00,47.39
29/03/2018 16:00:00,49.2
02/04/2018 16:00:00,47.68
03/04/2018 16:00:00,47.58
04/04/2018 16:00:00,47.67
05/04/2018 16:00:00,48.02
06/04/2018 16:00:00,45.87
09/04/2018 16:00:00,45.89
10/04/2018 16:00:00,47.8
11/04/2018 16:00:00,47.76
12/04/2018 16:00:00,49.69
13/04/2018 16:00:00,47.5
